ID_Asiento,Fecha_Transaccion,ID_Cuenta,Concepto,Debito,Credito
25,2020-01-15,1004,Venta #734 - Cliente #96,1781.55,0.0
25,2020-01-15,4001,Venta #734 - Cliente #96 (incluye IVA),0.0,1781.55
26,2020-01-15,5001,Costo de Venta #734,256.2,0.0
26,2020-01-15,1005,Costo de Venta #734 - Ajuste de inventario,0.0,256.2
27,2020-01-16,1004,Venta #123 - Cliente #42,244.7,0.0
27,2020-01-16,4001,Venta #123 - Cliente #42 (incluye IVA),0.0,244.7
28,2020-01-16,5001,Costo de Venta #123,44.22,0.0
28,2020-01-16,1005,Costo de Venta #123 - Ajuste de inventario,0.0,44.22
2101,2020-01-17,1005,Compra #147 - Producto #17,23743.3,0.0
2101,2020-01-17,1006,IVA por Compra #147,4522.53,0.0
2101,2020-01-17,2001,Compra #147 - Producto #17,0.0,28265.83
2608,2020-01-18,1002,Cobro venta #93,229165.92,0.0
2608,2020-01-18,1004,Cobro venta #93,0.0,229165.92
29,2020-01-19,1004,Venta #649 - Cliente #8,148726.27,0.0
29,2020-01-19,4001,Venta #649 - Cliente #8 (incluye IVA),0.0,148726.27
30,2020-01-19,5001,Costo de Venta #649,21029.09,0.0
30,2020-01-19,1005,Costo de Venta #649 - Ajuste de inventario,0.0,21029.09
31,2020-01-19,1004,Venta #276 - Cliente #70,175409.0,0.0
31,2020-01-19,4001,Venta #276 - Cliente #70 (incluye IVA),0.0,175409.0
32,2020-01-19,5001,Costo de Venta #276,30575.4,0.0
32,2020-01-19,1005,Costo de Venta #276 - Ajuste de inventario,0.0,30575.4
33,2020-01-19,1004,Venta #820 - Cliente #86,261.2,0.0
33,2020-01-19,4001,Venta #820 - Cliente #86 (incluye IVA),0.0,261.2
34,2020-01-19,5001,Costo de Venta #820,46.34,0.0
34,2020-01-19,1005,Costo de Venta #820 - Ajuste de inventario,0.0,46.34
2609,2020-01-19,1002,Cobro venta #791,4119.48,0.0
2609,2020-01-19,1004,Cobro venta #791,0.0,4119.48
35,2020-01-20,1004,Venta #833 - Cliente #91,7654.02,0.0
35,2020-01-20,4001,Venta #833 - Cliente #91 (incluye IVA),0.0,7654.02
36,2020-01-20,5001,Costo de Venta #833,1302.25,0.0
36,2020-01-20,1005,Costo de Venta #833 - Ajuste de inventario,0.0,1302.25
2610,2020-01-20,1002,Cobro venta #714,611.5,0.0
2610,2020-01-20,1004,Cobro venta #714,0.0,611.5
2102,2020-01-21,1005,Compra #357 - Producto #39,1585.18,0.0
2102,2020-01-21,1006,IVA por Compra #357,301.94,0.0
2102,2020-01-21,2001,Compra #357 - Producto #39,0.0,1887.12
37,2020-01-22,1004,Venta #484 - Cliente #57,4068.26,0.0
37,2020-01-22,4001,Venta #484 - Cliente #57 (incluye IVA),0.0,4068.26
38,2020-01-22,5001,Costo de Venta #484,651.62,0.0
38,2020-01-22,1005,Costo de Venta #484 - Ajuste de inventario,0.0,651.62
2103,2020-01-22,1005,Compra #266 - Producto #2,15001.52,0.0
2103,2020-01-22,1006,IVA por Compra #266,2857.43,0.0
2103,2020-01-22,2001,Compra #266 - Producto #2,0.0,17858.95
2611,2020-01-22,1002,Cobro venta #287,6695.0,0.0
2611,2020-01-22,1004,Cobro venta #287,0.0,6695.0
2612,2020-01-22,1002,Cobro venta #734,1781.55,0.0
2612,2020-01-22,1004,Cobro venta #734,0.0,1781.55
2613,2020-01-23,1002,Cobro venta #833,7654.02,0.0
2613,2020-01-23,1004,Cobro venta #833,0.0,7654.02
2614,2020-01-24,1002,Cobro venta #123,244.7,0.0
2614,2020-01-24,1004,Cobro venta #123,0.0,244.7
2104,2020-01-26,1005,Compra #102 - Producto #47,23052.51,0.0
2104,2020-01-26,1006,IVA por Compra #102,4390.95,0.0
2104,2020-01-26,2001,Compra #102 - Producto #47,0.0,27443.46
2615,2020-01-26,2001,Pago compra #233,7215.83,0.0
2615,2020-01-26,1002,Pago compra #233,0.0,7215.83
2616,2020-01-26,2001,Pago compra #147,28265.83,0.0
2616,2020-01-26,1002,Pago compra #147,0.0,28265.83
39,2020-01-27,1004,Venta #86 - Cliente #57,2959.44,0.0
39,2020-01-27,4001,Venta #86 - Cliente #57 (incluye IVA),0.0,2959.44
40,2020-01-27,5001,Costo de Venta #86,383.98,0.0
40,2020-01-27,1005,Costo de Venta #86 - Ajuste de inventario,0.0,383.98
2617,2020-01-27,2001,Pago compra #26,21052.86,0.0
2617,2020-01-27,1002,Pago compra #26,0.0,21052.86
41,2020-01-28,1004,Venta #242 - Cliente #66,463.15,0.0
41,2020-01-28,4001,Venta #242 - Cliente #66 (incluye IVA),0.0,463.15
42,2020-01-28,5001,Costo de Venta #242,62.78,0.0
42,2020-01-28,1005,Costo de Venta #242 - Ajuste de inventario,0.0,62.78
2618,2020-01-28,2001,Pago compra #121,37144.4,0.0
2618,2020-01-28,1002,Pago compra #121,0.0,37144.4
2619,2020-01-28,1002,Préstamo recibido,28160.73,0.0
2619,2020-01-28,2101,Préstamo recibido,0.0,28160.73
43,2020-01-29,1004,Venta #177 - Cliente #11,27376.26,0.0
43,2020-01-29,4001,Venta #177 - Cliente #11 (incluye IVA),0.0,27376.26
44,2020-01-29,5001,Costo de Venta #177,4315.68,0.0
44,2020-01-29,1005,Costo de Venta #177 - Ajuste de inventario,0.0,4315.68
2620,2020-01-29,1002,Cobro venta #276,175409.0,0.0
2620,2020-01-29,1004,Cobro venta #276,0.0,175409.0
2621,2020-01-30,1002,Cobro venta #649,148726.27,0.0
2621,2020-01-30,1004,Cobro venta #649,0.0,148726.27
2622,2020-01-31,1002,Cobro venta #484,4068.26,0.0
2622,2020-01-31,1004,Cobro venta #484,0.0,4068.26
2623,2020-01-31,5008,Otros gastos,18918.99,0.0
2623,2020-01-31,1002,Otros gastos,0.0,18918.99
2003,2020-02-01,5005,Gastos administrativos del mes,27990.7,0.0
2003,2020-02-01,1002,Pago de gastos administrativos del mes,0.0,27990.7
2004,2020-02-01,5006,Gastos de venta del mes,41986.05,0.0
2004,2020-02-01,1002,Pago de gastos de venta del mes,0.0,41986.05
2624,2020-02-01,1002,Cobro venta #820,261.2,0.0
2624,2020-02-01,1004,Cobro venta #820,0.0,261.2
2105,2020-02-02,1005,Compra #258 - Producto #10,5674.96,0.0
2105,2020-02-02,1006,IVA por Compra #258,1080.94,0.0
2105,2020-02-02,2001,Compra #258 - Producto #10,0.0,6755.9
2625,2020-02-03,1002,Cobro venta #242,463.15,0.0
2625,2020-02-03,1004,Cobro venta #242,0.0,463.15
45,2020-02-04,1004,Venta #226 - Cliente #61,2728.98,0.0
45,2020-02-04,4001,Venta #226 - Cliente #61 (incluye IVA),0.0,2728.98
46,2020-02-04,5001,Costo de Venta #226,361.8,0.0
46,2020-02-04,1005,Costo de Venta #226 - Ajuste de inventario,0.0,361.8
2626,2020-02-04,2001,Pago compra #102,27443.46,0.0
2626,2020-02-04,1002,Pago compra #102,0.0,27443.46
2627,2020-02-04,1002,Cobro venta #86,2959.44,0.0
2627,2020-02-04,1004,Cobro venta #86,0.0,2959.44
2106,2020-02-05,1005,Compra #2 - Producto #37,8456.51,0.0
2106,2020-02-05,1006,IVA por Compra #2,1610.76,0.0
2106,2020-02-05,2001,Compra #2 - Producto #37,0.0,10067.27
2107,2020-02-05,1005,Compra #192 - Producto #45,29054.94,0.0
2107,2020-02-05,1006,IVA por Compra #192,5534.27,0.0
2107,2020-02-05,2001,Compra #192 - Producto #45,0.0,34589.21
2628,2020-02-05,2001,Pago compra #357,1887.12,0.0
2628,2020-02-05,1002,Pago compra #357,0.0,1887.12
2629,2020-02-06,2001,Pago compra #266,17858.95,0.0
2629,2020-02-06,1002,Pago compra #266,0.0,17858.95
2630,2020-02-06,1002,Cobro venta #177,27376.26,0.0
2630,2020-02-06,1004,Cobro venta #177,0.0,27376.26
47,2020-02-08,1004,Venta #853 - Cliente #23,19838.68,0.0
47,2020-02-08,4001,Venta #853 - Cliente #23 (incluye IVA),0.0,19838.68
48,2020-02-08,5001,Costo de Venta #853,3194.93,0.0
48,2020-02-08,1005,Costo de Venta #853 - Ajuste de inventario,0.0,3194.93
49,2020-02-09,1004,Venta #151 - Cliente #25,261.2,0.0
49,2020-02-09,4001,Venta #151 - Cliente #25 (incluye IVA),0.0,261.2
50,2020-02-09,5001,Costo de Venta #151,46.34,0.0
50,2020-02-09,1005,Costo de Venta #151 - Ajuste de inventario,0.0,46.34
51,2020-02-09,1004,Venta #158 - Cliente #91,103.78,0.0
51,2020-02-09,4001,Venta #158 - Cliente #91 (incluye IVA),0.0,103.78
52,2020-02-09,5001,Costo de Venta #158,17.98,0.0
52,2020-02-09,1005,Costo de Venta #158 - Ajuste de inventario,0.0,17.98
53,2020-02-10,1004,Venta #84 - Cliente #38,1339.0,0.0
53,2020-02-10,4001,Venta #84 - Cliente #38 (incluye IVA),0.0,1339.0
54,2020-02-10,5001,Costo de Venta #84,233.4,0.0
54,2020-02-10,1005,Costo de Venta #84 - Ajuste de inventario,0.0,233.4
2631,2020-02-10,1002,Cobro venta #158,103.78,0.0
2631,2020-02-10,1004,Cobro venta #158,0.0,103.78
55,2020-02-11,1004,Venta #101 - Cliente #25,96.45,0.0
55,2020-02-11,4001,Venta #101 - Cliente #25 (incluye IVA),0.0,96.45
56,2020-02-11,5001,Costo de Venta #101,16.83,0.0
56,2020-02-11,1005,Costo de Venta #101 - Ajuste de inventario,0.0,16.83
57,2020-02-11,1004,Venta #349 - Cliente #38,3317.64,0.0
57,2020-02-11,4001,Venta #349 - Cliente #38 (incluye IVA),0.0,3317.64
58,2020-02-11,5001,Costo de Venta #349,557.3,0.0
58,2020-02-11,1005,Costo de Venta #349 - Ajuste de inventario,0.0,557.3
2632,2020-02-11,1002,Cobro venta #226,2728.98,0.0
2632,2020-02-11,1004,Cobro venta #226,0.0,2728.98
59,2020-02-12,1004,Venta #289 - Cliente #48,1437.66,0.0
59,2020-02-12,4001,Venta #289 - Cliente #48 (incluye IVA),0.0,1437.66
60,2020-02-12,5001,Costo de Venta #289,198.39,0.0
60,2020-02-12,1005,Costo de Venta #289 - Ajuste de inventario,0.0,198.39
61,2020-02-12,1004,Venta #803 - Cliente #35,16107.41,0.0
61,2020-02-12,4001,Venta #803 - Cliente #35 (incluye IVA),0.0,16107.41
62,2020-02-12,5001,Costo de Venta #803,2228.85,0.0
62,2020-02-12,1005,Costo de Venta #803 - Ajuste de inventario,0.0,2228.85
2108,2020-02-12,1005,Compra #203 - Producto #33,53095.85,0.0
2108,2020-02-12,1006,IVA por Compra #203,10113.49,0.0
2108,2020-02-12,2001,Compra #203 - Producto #33,0.0,63209.34
2633,2020-02-13,1002,Cobro venta #151,261.2,0.0
2633,2020-02-13,1004,Cobro venta #151,0.0,261.2
2634,2020-02-13,1002,Cobro venta #349,3317.64,0.0
2634,2020-02-13,1004,Cobro venta #349,0.0,3317.64
63,2020-02-14,1004,Venta #659 - Cliente #61,712.5,0.0
63,2020-02-14,4001,Venta #659 - Cliente #61 (incluye IVA),0.0,712.5
64,2020-02-14,5001,Costo de Venta #659,132.82,0.0
64,2020-02-14,1005,Costo de Venta #659 - Ajuste de inventario,0.0,132.82
2109,2020-02-14,1005,Compra #423 - Producto #33,55786.05,0.0
2109,2020-02-14,1006,IVA por Compra #423,10625.91,0.0
2109,2020-02-14,2001,Compra #423 - Producto #33,0.0,66411.96
2110,2020-02-14,1005,Compra #157 - Producto #19,16584.75,0.0
2110,2020-02-14,1006,IVA por Compra #157,3159.0,0.0
2110,2020-02-14,2001,Compra #157 - Producto #19,0.0,19743.75
2635,2020-02-14,1002,Cobro venta #101,96.45,0.0
2635,2020-02-14,1004,Cobro venta #101,0.0,96.45
2636,2020-02-14,1002,Cobro venta #84,1339.0,0.0
2636,2020-02-14,1004,Cobro venta #84,0.0,1339.0
2111,2020-02-15,1005,Compra #231 - Producto #24,7094.46,0.0
2111,2020-02-15,1006,IVA por Compra #231,1351.33,0.0
2111,2020-02-15,2001,Compra #231 - Producto #24,0.0,8445.79
65,2020-02-18,1004,Venta #572 - Cliente #46,81162.93,0.0
65,2020-02-18,4001,Venta #572 - Cliente #46 (incluye IVA),0.0,81162.93
66,2020-02-18,5001,Costo de Venta #572,12620.97,0.0
66,2020-02-18,1005,Costo de Venta #572 - Ajuste de inventario,0.0,12620.97
67,2020-02-18,1004,Venta #459 - Cliente #21,4367.16,0.0
67,2020-02-18,4001,Venta #459 - Cliente #21 (incluye IVA),0.0,4367.16
68,2020-02-18,5001,Costo de Venta #459,606.13,0.0
68,2020-02-18,1005,Costo de Venta #459 - Ajuste de inventario,0.0,606.13
69,2020-02-18,1004,Venta #703 - Cliente #54,5926.86,0.0
69,2020-02-18,4001,Venta #703 - Cliente #54 (incluye IVA),0.0,5926.86
70,2020-02-18,5001,Costo de Venta #703,822.6,0.0
70,2020-02-18,1005,Costo de Venta #703 - Ajuste de inventario,0.0,822.6
2637,2020-02-18,1002,Cobro venta #703,5926.86,0.0
2637,2020-02-18,1004,Cobro venta #703,0.0,5926.86
2638,2020-02-18,2001,Pago compra #258,6755.9,0.0
2638,2020-02-18,1002,Pago compra #258,0.0,6755.9
71,2020-02-19,1004,Venta #996 - Cliente #88,12789.54,0.0
71,2020-02-19,4001,Venta #996 - Cliente #88 (incluye IVA),0.0,12789.54
72,2020-02-19,5001,Costo de Venta #996,1775.1,0.0
72,2020-02-19,1005,Costo de Venta #996 - Ajuste de inventario,0.0,1775.1
73,2020-02-19,1004,Venta #310 - Cliente #24,475.0,0.0
73,2020-02-19,4001,Venta #310 - Cliente #24 (incluye IVA),0.0,475.0
74,2020-02-19,5001,Costo de Venta #310,88.55,0.0
74,2020-02-19,1005,Costo de Venta #310 - Ajuste de inventario,0.0,88.55
2639,2020-02-20,1002,Cobro venta #996,12789.54,0.0
2639,2020-02-20,1004,Cobro venta #996,0.0,12789.54
2640,2020-02-22,1002,Cobro venta #572,81162.93,0.0
2640,2020-02-22,1004,Cobro venta #572,0.0,81162.93
2641,2020-02-22,2001,Pago compra #192,34589.21,0.0
2641,2020-02-22,1002,Pago compra #192,0.0,34589.21
2642,2020-02-22,1002,Cobro venta #853,19838.68,0.0
2642,2020-02-22,1004,Cobro venta #853,0.0,19838.68
75,2020-02-23,1004,Venta #143 - Cliente #47,239.61,0.0
75,2020-02-23,4001,Venta #143 - Cliente #47 (incluye IVA),0.0,239.61
76,2020-02-23,5001,Costo de Venta #143,33.06,0.0
76,2020-02-23,1005,Costo de Venta #143 - Ajuste de inventario,0.0,33.06
77,2020-02-23,1004,Venta #849 - Cliente #50,370.52,0.0
77,2020-02-23,4001,Venta #849 - Cliente #50 (incluye IVA),0.0,370.52
78,2020-02-23,5001,Costo de Venta #849,50.22,0.0
78,2020-02-23,1005,Costo de Venta #849 - Ajuste de inventario,0.0,50.22
2643,2020-02-23,1002,Cobro venta #143,239.61,0.0
2643,2020-02-23,1004,Cobro venta #143,0.0,239.61
79,2020-02-24,1004,Venta #335 - Cliente #16,3685.0,0.0
79,2020-02-24,4001,Venta #335 - Cliente #16 (incluye IVA),0.0,3685.0
80,2020-02-24,5001,Costo de Venta #335,582.34,0.0
80,2020-02-24,1005,Costo de Venta #335 - Ajuste de inventario,0.0,582.34
2644,2020-02-24,1002,Cobro venta #289,1437.66,0.0
2644,2020-02-24,1004,Cobro venta #289,0.0,1437.66
2645,2020-02-24,1002,Cobro venta #459,4367.16,0.0
2645,2020-02-24,1004,Cobro venta #459,0.0,4367.16
2112,2020-02-25,1005,Compra #436 - Producto #16,4852.04,0.0
2112,2020-02-25,1006,IVA por Compra #436,924.2,0.0
2112,2020-02-25,2001,Compra #436 - Producto #16,0.0,5776.24
2646,2020-02-25,1002,Préstamo recibido,48131.38,0.0
2646,2020-02-25,2101,Préstamo recibido,0.0,48131.38
2647,2020-02-25,1002,Cobro venta #803,16107.41,0.0
2647,2020-02-25,1004,Cobro venta #803,0.0,16107.41
2113,2020-02-27,1005,Compra #313 - Producto #50,10180.14,0.0
2113,2020-02-27,1006,IVA por Compra #313,1939.07,0.0
2113,2020-02-27,2001,Compra #313 - Producto #50,0.0,12119.21
2648,2020-02-27,2001,Pago compra #203,63209.34,0.0
2648,2020-02-27,1002,Pago compra #203,0.0,63209.34
2649,2020-02-27,1002,Cobro venta #335,3685.0,0.0
2649,2020-02-27,1004,Cobro venta #335,0.0,3685.0
2650,2020-02-27,1002,Cobro venta #659,712.5,0.0
2650,2020-02-27,1004,Cobro venta #659,0.0,712.5
81,2020-02-28,1004,Venta #77 - Cliente #87,115840.66,0.0
81,2020-02-28,4001,Venta #77 - Cliente #87 (incluye IVA),0.0,115840.66
82,2020-02-28,5001,Costo de Venta #77,18587.86,0.0
82,2020-02-28,1005,Costo de Venta #77 - Ajuste de inventario,0.0,18587.86
83,2020-02-28,1004,Venta #924 - Cliente #55,9106.44,0.0
83,2020-02-28,4001,Venta #924 - Cliente #55 (incluye IVA),0.0,9106.44
84,2020-02-28,5001,Costo de Venta #924,1320.35,0.0
84,2020-02-28,1005,Costo de Venta #924 - Ajuste de inventario,0.0,1320.35
2651,2020-02-28,1002,Cobro venta #310,475.0,0.0
2651,2020-02-28,1004,Cobro venta #310,0.0,475.0
2652,2020-02-28,2001,Pago compra #436,5776.24,0.0
2652,2020-02-28,1002,Pago compra #436,0.0,5776.24
2653,2020-02-29,2001,Pago compra #423,66411.96,0.0
2653,2020-02-29,1002,Pago compra #423,0.0,66411.96
85,2020-03-01,1004,Venta #880 - Cliente #63,16936.08,0.0
85,2020-03-01,4001,Venta #880 - Cliente #63 (incluye IVA),0.0,16936.08
86,2020-03-01,5001,Costo de Venta #880,2800.75,0.0
86,2020-03-01,1005,Costo de Venta #880 - Ajuste de inventario,0.0,2800.75
2005,2020-03-01,5005,Gastos administrativos del mes,18276.41,0.0
2005,2020-03-01,1002,Pago de gastos administrativos del mes,0.0,18276.41
2006,2020-03-01,5006,Gastos de venta del mes,27414.61,0.0
2006,2020-03-01,1002,Pago de gastos de venta del mes,0.0,27414.61
2654,2020-03-01,1002,Cobro venta #77,115840.66,0.0
2654,2020-03-01,1004,Cobro venta #77,0.0,115840.66
2655,2020-03-01,1002,Cobro venta #849,370.52,0.0
2655,2020-03-01,1004,Cobro venta #849,0.0,370.52
87,2020-03-03,1004,Venta #868 - Cliente #22,981.9,0.0
87,2020-03-03,4001,Venta #868 - Cliente #22 (incluye IVA),0.0,981.9
88,2020-03-03,5001,Costo de Venta #868,142.09,0.0
88,2020-03-03,1005,Costo de Venta #868 - Ajuste de inventario,0.0,142.09
89,2020-03-03,1004,Venta #46 - Cliente #22,6070.46,0.0
89,2020-03-03,4001,Venta #46 - Cliente #22 (incluye IVA),0.0,6070.46
90,2020-03-03,5001,Costo de Venta #46,858.33,0.0
90,2020-03-03,1005,Costo de Venta #46 - Ajuste de inventario,0.0,858.33
2656,2020-03-03,1002,Cobro venta #924,9106.44,0.0
2656,2020-03-03,1004,Cobro venta #924,0.0,9106.44
2114,2020-03-04,1005,Compra #153 - Producto #37,8582.75,0.0
2114,2020-03-04,1006,IVA por Compra #153,1634.81,0.0
2114,2020-03-04,2001,Compra #153 - Producto #37,0.0,10217.56
2115,2020-03-05,1005,Compra #415 - Producto #36,4381.34,0.0
2115,2020-03-05,1006,IVA por Compra #415,834.54,0.0
2115,2020-03-05,2001,Compra #415 - Producto #36,0.0,5215.88
2116,2020-03-05,1005,Compra #303 - Producto #6,62301.78,0.0
2116,2020-03-05,1006,IVA por Compra #303,11867.01,0.0
2116,2020-03-05,2001,Compra #303 - Producto #6,0.0,74168.79
2657,2020-03-05,2001,Pago compra #2,10067.27,0.0
2657,2020-03-05,1002,Pago compra #2,0.0,10067.27
91,2020-03-08,1004,Venta #619 - Cliente #69,3056.4,0.0
91,2020-03-08,4001,Venta #619 - Cliente #69 (incluye IVA),0.0,3056.4
92,2020-03-08,5001,Costo de Venta #619,430.92,0.0
92,2020-03-08,1005,Costo de Venta #619 - Ajuste de inventario,0.0,430.92
2117,2020-03-08,1005,Compra #468 - Producto #26,20317.89,0.0
2117,2020-03-08,1006,IVA por Compra #468,3870.08,0.0
2117,2020-03-08,2001,Compra #468 - Producto #26,0.0,24187.97
2658,2020-03-08,2001,Pago compra #157,19743.75,0.0
2658,2020-03-08,1002,Pago compra #157,0.0,19743.75
2659,2020-03-08,1002,Cobro venta #868,981.9,0.0
2659,2020-03-08,1004,Cobro venta #868,0.0,981.9
2660,2020-03-09,2001,Pago compra #313,12119.21,0.0
2660,2020-03-09,1002,Pago compra #313,0.0,12119.21
2661,2020-03-10,1002,Cobro venta #880,16936.08,0.0
2661,2020-03-10,1004,Cobro venta #880,0.0,16936.08
93,2020-03-11,1004,Venta #906 - Cliente #13,4571.0,0.0
93,2020-03-11,4001,Venta #906 - Cliente #13 (incluye IVA),0.0,4571.0
94,2020-03-11,5001,Costo de Venta #906,810.86,0.0
94,2020-03-11,1005,Costo de Venta #906 - Ajuste de inventario,0.0,810.86
2118,2020-03-11,1005,Compra #398 - Producto #18,12449.97,0.0
2118,2020-03-11,1006,IVA por Compra #398,2371.42,0.0
2118,2020-03-11,2001,Compra #398 - Producto #18,0.0,14821.39
2662,2020-03-11,2001,Pago compra #303,74168.79,0.0
2662,2020-03-11,1002,Pago compra #303,0.0,74168.79
95,2020-03-12,1004,Venta #200 - Cliente #21,43129.32,0.0
95,2020-03-12,4001,Venta #200 - Cliente #21 (incluye IVA),0.0,43129.32
96,2020-03-12,5001,Costo de Venta #200,7244.93,0.0
96,2020-03-12,1005,Costo de Venta #200 - Ajuste de inventario,0.0,7244.93
2663,2020-03-12,1002,Cobro venta #619,3056.4,0.0
2663,2020-03-12,1004,Cobro venta #619,0.0,3056.4
